k,n,id,orders,generator,P,P_coe,E,E_coe,H,H_coe,Element,gen_coe,hyouji,orders2
-1,0,0,0.0,0,,0 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,0,0 0 0 0 0 0 0 0 0 0 0 0,0,0.0
0,1,0,inf,\iota1,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,\iota1,inf
0,2,0,inf,\iota2,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,\iota2,inf
0,3,0,inf,\iota3,,0 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,\iota3,inf
0,5,0,inf,\iota5,"Prop5.1, \ \Delta(\iota_5)=\pm 2\eta_2",2 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,\iota5,inf
0,7,0,inf,\iota7,"Lem5.4, \ H(\nu_4)=\iota_7",0 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,\iota7,inf
0,9,0,inf,\iota9,"(5.8), \ \Delta(\iota_9)=\pm (2\nu_4-E \nu')",2 -1 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,\iota9,inf
0,11,0,inf,\iota11,"(5.10), \ \Delta(\iota_{11})=\nu_5\eta_8",1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,\iota11,inf
0,13,0,inf,\iota13,\Delta(\iota_{13})=\Delta(\iota_{13}),1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,\iota13,inf
0,15,0,inf,\iota15,"Lem5.14, \ H(\sigma_8)=\iota_{15}",0 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,\iota15,inf
0,17,0,inf,\iota17,"(5.16), \ \Delta(\iota_{17})=\pm (2\sigma_8-E \sigma')",2 -1 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,\iota17,inf
0,19,0,inf,\iota19,"(7.1), \ \Delta(\iota_{19})=\sigma_9\eta_{16}+\bar{\nu}_9+\epsilon_9",1 1 1 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,\iota19,inf
0,21,0,inf,\iota21,\Delta(\iota_{21})=\Delta(\iota_{21}),1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,\iota21,inf
0,23,0,inf,\iota23,\Delta(\iota_{23})=\sigma_{11}\nu_{18},1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,\iota23,inf
0,25,0,inf,\iota25,\Delta(\iota_{25})=\Delta(\iota_{25}),1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,\iota25,inf
0,27,0,inf,\iota27,,1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,\iota27,inf
0,29,0,inf,\iota29,,1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,\iota29,inf
